epsilon,mu11,mu12,mu22,Dq_dimensionless,correction_x,correction_y,relative_residual
0.013219411484660288,1.0,0.7142857,1.0,0.5858489297707141,0.987584700356289,0.006334336299614871,6.645024642223615e-12
0.01519911082952933,1.0,0.7142857,1.0,0.6266273821771231,0.987265453865552,0.006497217155733578,6.460152034551952e-12
0.01747528400007685,1.0,0.7142857,1.0,0.6657246003630033,0.9869593694272688,0.006653382679181122,6.8277872074515325e-12
0.02009233002565048,1.0,0.7142857,1.0,0.7027048909483105,0.9866698579991711,0.006801092585531275,6.903488084448132e-12
0.023101297000831605,1.0,0.7142857,1.0,0.7372527612718094,0.9863993895110339,0.006939086706715871,7.548614486064691e-12
0.026560877829466867,1.0,0.7142857,1.0,0.7691728018807626,0.9861494937857511,0.007066584520544897,7.664494858580378e-12
0.030538555088334154,1.0,0.7142857,1.0,0.7983789770666523,0.9859208443794035,0.0071832423762519595,7.115249435683906e-12
0.03511191734215131,1.0,0.7142857,1.0,0.8248772914118727,0.9857133942833058,0.00728908425785413,7.080434625615309e-12
0.040370172585965536,1.0,0.7142857,1.0,0.8487456501776087,0.9855265335929694,0.007384421340857354,6.975177782122741e-12
0.04641588833612782,1.0,0.7142857,1.0,0.8701138837540028,0.9853592458910702,0.0074697722058569066,7.56530234297243e-12
0.05336699231206313,1.0,0.7142857,1.0,0.8891458584252026,0.9852102483013652,0.007545791381181617,8.521794034026577e-12
0.061359072734131756,1.0,0.7142857,1.0,0.9060246271606396,0.9850781077376426,0.007613210033474385,8.010247434380974e-12
0.07054802310718646,1.0,0.7142857,1.0,0.9209408558462375,0.984961331514354,0.007672789736863396,7.883734323954065e-12
0.08111308307896872,1.0,0.7142857,1.0,0.934084315440932,0.9848584339520166,0.007725288491023436,7.83339244972768e-12
0.093260334688322,1.0,0.7142857,1.0,0.9456379915234598,0.9847679824922017,0.007771437193224739,7.666811828480605e-12
0.10722672220103231,1.0,0.7142857,1.0,0.9557743034495485,0.9846886272979648,0.007811924535606508,7.141605335658582e-12
0.12328467394420659,1.0,0.7142857,1.0,0.9646529301445486,0.9846191182742611,0.007847388321794446,7.292983436564821e-12
0.14174741629268048,1.0,0.7142857,1.0,0.9724198117879501,0.9845583128843569,0.007878411478545864,6.067898089660492e-12
0.16297508346206452,1.0,0.7142857,1.0,0.9792069760442557,0.9845051775088205,0.007905521363079857,6.772285033417198e-12
0.1873817422860385,1.0,0.7142857,1.0,0.9851329142950855,0.9844587845027869,0.007929191263144031,6.424463568096221e-12
0.21544346900318845,1.0,0.7142857,1.0,0.9903033032251423,0.9844183065442359,0.007949843281803681,6.113498787856267e-12
0.24770763559917114,1.0,0.7142857,1.0,0.9948119229020032,0.9843830094464681,0.007967852004573893,5.463629518354322e-12
0.2848035868435802,1.0,0.7142857,1.0,0.9987416691800295,0.9843522442351658,0.007983548540279372,5.626222654319092e-12
